Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
adjudicate,10,117,4.76,1062.19,0.9,456.57,21,0.68
adjudication,12,219,5.39,975.56,0.87,302.64,16,0.62
adjunct,7,746,6.61,758.2,-0.07,215.22,25,0.81
adjuncts,8,110,4.7,791.69,0.02,319.11,29,0.83
adjure,6,10,2.3,817.1,0.04,311.75,21,0.66
adjust,6,8566,9.06,656,-0.53,216.57,30,0.91
adjustable,10,2555,7.85,725.27,-0.18,217.8,33,1
adjusted,8,4511,8.41,687.24,-0.24,170.92,34,1
adjusting,9,2340,7.76,721.33,-0.25,323.13,33,0.97
adjustment,10,4675,8.45,652.41,-0.35,157.15,29,0.91
adjustments,11,2653,7.88,788.23,-0.04,341.9,31,0.97
adjusts,7,587,6.38,748.89,-0.17,271.35,35,1
Adlai,5,168,5.12,1131.5,0.41,840.75,2,0.06
administer,10,2314,7.75,832.74,0.01,341.6,31,0.97
administered,12,3042,8.02,772.19,0.01,260.73,32,1
administering,13,1323,7.19,850.85,0.18,298.08,26,0.81
administers,11,385,5.95,852.55,0.1,421.94,33,0.94
administration,14,29660,10.3,954.27,0.29,559.6,33,1
administration's,16,918,6.82,1056.08,0.88,320.2,26,1
administrative,14,9480,9.16,1009.93,0.5,451.77,30,0.97
administratively,16,96,4.56,1010.45,0.89,340.28,29,0.94
administrator,13,23369,10.06,883.53,0.28,428.33,34,1
administrators,14,7066,8.86,824.07,0.39,291.99,30,0.97
admirable,9,992,6.9,807.97,0.03,312.24,32,0.94
admirably,9,417,6.03,710.06,-0.27,194.34,31,0.94
admiral,7,4919,8.5,705.94,-0.37,197.1,32,0.97
admirals,8,250,5.52,779.23,-0.11,298.56,31,0.94
admiralty,9,252,5.53,936.35,0.53,518.34,20,0.67
admiration,10,1381,7.23,857.83,0.04,447.07,29,0.88
admire,6,3160,8.06,621.03,-0.62,241.92,35,1
admired,7,1365,7.22,699.21,-0.34,237.87,33,1
admirer,7,417,6.03,891.61,-0.01,555.43,31,0.94
admirers,8,364,5.9,744.64,-0.12,278.52,33,0.97
admires,7,250,5.52,594.84,-0.66,199.09,31,0.97
admiring,8,622,6.43,659.23,-0.36,153.49,31,0.94
admiringly,10,34,3.53,840.57,0.27,319.37,30,0.97
admissible,10,366,5.9,895.97,0.2,405.22,29,0.88
admission,9,6004,8.7,694.71,-0.33,203.77,34,0.97
admissions,10,1744,7.46,685.88,-0.32,242.45,32,0.94
admit,5,27202,10.21,574.65,-0.62,149.31,34,1
admits,6,2676,7.89,636.77,-0.59,162.67,31,0.91
admittance,10,329,5.8,743.27,-0.04,247.36,33,0.97
admitted,8,8428,9.04,774.39,-0.19,384.38,33,0.97
admittedly,10,4176,8.34,934.23,0.3,523.64,26,0.79
admitting,9,2277,7.73,698.92,-0.43,211.81,36,1
admixed,7,1,0,1052.2,0.88,347.48,5,0.15
admonish,8,140,4.94,780.59,-0.07,316.76,22,0.71
admonished,10,255,5.54,947.92,0.54,427.4,26,0.81
admonishing,11,62,4.13,895.2,0.27,348.67,25,0.78
admonishments,13,39,3.66,923.14,0.66,324.68,21,0.7
admonition,10,298,5.7,904.15,0.79,290.67,20,0.71
admonitions,11,93,4.53,869.42,0.51,305.24,19,0.61
ado,3,662,6.5,829.24,0.17,232.88,17,0.53
adobe,5,6956,8.85,770.23,0.07,285.33,30,0.94
adolescence,11,788,6.67,695.06,-0.4,246.24,32,0.97
adolescent,10,1523,7.33,780.13,0.08,247.3,31,0.97
adolescents,11,872,6.77,703.44,-0.08,196.01,34,1
adolescent's,12,2,0.69,774.35,0.14,267.1,34,1
Adolf,5,1324,7.19,815.65,-0.05,395.99,31,0.97
Adonis,6,496,6.21,779.41,0.12,221.44,17,0.5
adopt,5,5702,8.65,614.41,-0.59,134.86,34,1
adopted,7,9446,9.15,649.76,-0.46,226.54,33,1
adopting,8,1825,7.51,630.33,-0.41,200.81,33,0.97
adoption,8,8651,9.07,687.85,-0.4,242.62,33,1
adopts,6,452,6.11,696.47,-0.46,334.4,34,1
adorable,8,935,6.84,787.06,-0.04,265.02,33,0.97
adoration,9,432,6.07,801.2,0.03,275.59,30,0.91
adore,5,1059,6.97,737.55,-0.36,433.45,33,0.97
adored,6,356,5.87,677.69,-0.28,210.96,32,0.97
adores,6,216,5.38,722.26,-0.36,329.43,31,0.89
adorn,5,121,4.8,732.6,-0.23,251.57,30,0.91
adorned,7,259,5.56,729.44,-0.27,224.19,27,0.82
adornment,9,241,5.48,965.5,0.7,443.29,28,0.82
adorns,6,49,3.89,792.04,0.1,289.89,27,0.77
adrenal,7,343,5.84,867.22,0.32,294.88,27,0.79
adrenalin,9,322,5.77,858.96,0.45,269.56,25,0.76
Adrian,6,5332,8.58,838.78,0.05,230.88,27,0.79
Adriatic,8,295,5.69,900.89,0.42,323.43,18,0.6
adrift,6,237,5.47,835.32,0.1,289.17,28,0.82
adroit,6,43,3.76,884.78,0.34,394.77,9,0.28
adroitness,10,3,1.1,885.82,0.62,434.82,11,0.33
ads,3,26673,10.19,675.4,-0.34,278.99,30,0.88
adsorbed,8,91,4.51,728.13,-0.05,243.28,15,0.45
adsorbs,7,13,2.56,847.6,0.35,355.02,15,0.47
adulation,9,181,5.2,942.42,0.6,351.46,19,0.68
adult,5,25223,10.14,546.3,-0.79,167.82,33,1
adulterant,10,5,1.61,955.06,0.92,303.72,17,0.59
adulterate,10,19,2.94,1083.39,0.8,375.38,23,0.72
adulterated,11,65,4.17,914.07,0.62,298.74,29,0.91
adulterer,9,89,4.49,969.72,0.51,489.58,25,0.76
adulterers,10,157,5.06,923.7,0.37,292.7,27,0.87
adulteress,10,55,4.01,854.65,0.47,333.19,26,0.84
adulterous,10,145,4.98,933.2,0.35,403.74,30,0.94
adultery,8,1228,7.11,586.7,-0.55,120.29,33,0.97
adulthood,9,874,6.77,639.7,-0.39,166.3,33,1
adults,6,11743,9.37,561.53,-0.86,145.11,32,1
advance,7,79091,11.28,626.66,-0.62,239.9,32,1
advanced,8,36516,10.51,637.32,-0.59,200.2,34,1
advancement,11,4106,8.32,633.77,-0.48,159.46,35,1
advancements,12,397,5.98,907.24,0.23,427.92,33,1
advances,8,4615,8.44,671.41,-0.44,183.12,34,1
advancing,9,2081,7.64,733.03,-0.27,266.54,32,0.97
advantage,9,33506,10.42,662.94,-0.47,266.43,32,0.94
advantageous,12,1034,6.94,993.68,0.65,394.4,28,0.93
advantageously,14,35,3.56,1083.64,1.05,469.39,28,0.9
advantages,10,9900,9.2,778.15,-0.18,267.26,33,1
advent,6,1976,7.59,681.88,-0.44,221.18,33,0.97
adventitious,12,18,2.89,954.22,0.99,271.34,9,0.38
adventure,9,12865,9.46,631.23,-0.46,193.11,31,0.94
adventurers,11,1168,7.06,870.61,0.37,373.01,31,0.94
adventures,10,9517,9.16,761.15,-0.15,308.07,33,1
adventuring,11,224,5.41,824.5,0.34,275.75,28,0.88
adventurous,11,1068,6.97,916.21,0.36,400.85,29,0.91
adverb,6,149,5,679.62,-0.41,239.67,34,1
adverbial,9,88,4.48,911.38,0.74,270.95,16,0.52
adverbs,7,184,5.21,761.21,-0.14,296.31,34,0.97
adversaries,11,414,6.03,852.53,0.28,274.47,30,0.91
adversary,9,735,6.6,790.03,-0.1,312.64,31,0.97
adverse,7,3099,8.04,642.94,-0.33,160.93,34,0.97
adversely,9,903,6.81,816.58,-0.01,298.37,31,0.91
adversity,9,321,5.77,752.38,-0.06,207.28,32,1
advert,6,902,6.8,768.56,-0.07,276.5,32,0.94
advertise,9,7631,8.94,667.42,-0.37,191.88,33,1
advertised,10,6189,8.73,723.03,-0.14,184.23,34,1
advertisement,13,4858,8.49,798.94,0.05,334.82,33,1
advertisements,14,3924,8.27,839.68,0.37,278.08,31,0.97
advertiser,10,1149,7.05,931.84,0.17,411.38,31,0.94
advertisers,11,2489,7.82,872.64,0.23,309.38,33,1
advertises,10,839,6.73,936.16,0.55,395.7,32,1
advertising,11,21735,9.99,850.21,0.1,301.56,33,0.97
advice,6,44488,10.7,599.59,-0.67,165.9,34,1
advisability,12,59,4.08,1059.64,0.87,399.68,28,0.88
advisable,9,1201,7.09,850.2,0.21,339.78,30,0.88
advise,6,9061,9.11,726.86,-0.37,413.66,29,0.94
advised,7,5552,8.62,685.74,-0.43,311.99,35,1
advisedly,9,30,3.4,838.41,0.05,456.23,29,0.88
advisement,10,79,4.37,832.74,0.07,462.91,27,0.93
adviser,7,1024,6.93,666.2,-0.39,261.08,30,0.88
advisers,8,406,6.01,750.18,-0.23,312.57,33,1
advises,7,858,6.75,760.23,-0.18,263.88,30,0.94
advising,8,994,6.9,632.24,-0.5,199,33,0.94
advisor,7,4536,8.42,635.65,-0.45,189,34,1
advisors,8,1334,7.2,667.27,-0.42,201.67,33,1
advisory,8,4271,8.36,647.26,-0.32,187.03,27,0.93
advocacy,8,3825,8.25,708.86,-0.3,213,29,0.91
advocate,8,7267,8.89,621.81,-0.4,97.63,32,0.97
advocated,9,1584,7.37,724.47,-0.1,169.92,30,0.91
advocates,9,5650,8.64,641.09,-0.43,164.43,33,0.97
advocating,10,3091,8.04,785.23,0.06,269.94,35,1
Aegean,6,1582,7.37,1022.24,0.87,366.69,17,0.5
aerate,6,132,4.88,954.71,1.09,178.9,7,0.21
aerated,7,65,4.17,1144.17,1.11,344.79,12,0.39
aerates,7,20,3,910,0.6,168.35,5,0.16
aeration,8,204,5.32,1068.22,1.36,257.66,9,0.3
aerator,7,58,4.06,913.91,0.78,239.79,11,0.34
aerial,6,2841,7.95,828.33,0.09,373.28,27,0.84
aerials,7,63,4.14,799.83,0,224.93,23,0.68
aerobatic,9,185,5.22,817.16,0.06,367.85,25,0.81
aerobic,7,1375,7.23,721.06,-0.19,148.52,33,0.94
aerodynamic,11,503,6.22,1020.77,0.88,330.96,26,0.79
aeronaut,8,1,0,1022.16,0.87,302.88,19,0.61
aeronautical,12,557,6.32,948.22,0.85,301.92,23,0.77
aeronautics,11,712,6.57,984.69,0.84,323.4,26,0.84
aeroplane,9,218,5.38,842.48,0.38,326.88,23,0.77
aerosol,7,421,6.04,812.97,-0.01,375.75,33,0.94
aerosolized,11,36,3.58,1195.31,1.29,453.15,13,0.46
aerosols,8,274,5.61,783.73,0.09,188.03,26,0.79
aerospace,9,3557,8.18,883.6,0.37,351.79,30,0.94
Aeschylus,9,80,4.38,1319.44,1.13,640.89,9,0.28
aesthetic,9,1575,7.36,898.81,0.38,323.76,32,0.94
aesthetics,10,954,6.86,803.41,0.17,213.94,29,0.88
afar,4,446,6.1,755.96,-0.03,222.85,27,0.77
affable,7,81,4.39,779.11,0.17,288.3,18,0.56
affair,6,5294,8.57,636.61,-0.55,202.85,33,1
affairs,7,12423,9.43,668.73,-0.53,203.28,33,0.97
affect,6,18690,9.84,663.26,-0.4,146.11,31,0.97
affectation,11,102,4.62,890.3,0.35,500.64,23,0.7
affected,8,12344,9.42,748.39,-0.27,277.22,31,0.91
affecting,9,3851,8.26,747.36,-0.12,283.37,28,0.9
affectingly,11,0,0,927.65,0.62,334.33,26,0.79
affection,9,1910,7.55,695.9,-0.32,215.76,30,0.88
affectionate,12,1171,7.07,926.03,0.48,313.14,30,0.91
affectionately,14,258,5.55,971.48,0.79,333.5,33,0.97
affections,10,321,5.77,790.22,-0.05,330.9,32,1
affects,7,6036,8.71,656.67,-0.52,206.12,33,0.97
afferent,8,77,4.34,1104.62,0.61,480.27,13,0.39
affianced,9,17,2.83,884.25,0.43,338.6,8,0.24
affidavit,9,743,6.61,925.94,0.7,263.15,16,0.5
affidavits,10,366,5.9,953.08,0.65,427.23,24,0.73
affiliate,9,2464,7.81,813.34,0.13,266.1,32,0.97
affiliated,10,4536,8.42,794.81,-0.07,264.67,31,0.94
affiliates,10,1793,7.49,870.3,0.24,323.01,30,0.91
affiliation,11,3018,8.01,855.35,0.16,304.79,31,0.97
affiliations,12,1047,6.95,753.5,0.02,227.92,34,0.97
affinities,10,90,4.5,814.28,0.28,154.91,18,0.58
affinity,8,1254,7.13,799.89,0.02,243.36,27,0.79
affirm,6,671,6.51,687.81,-0.32,161.35,32,0.94
affirmation,11,868,6.77,759.41,-0.13,317.24,32,0.97
affirmations,12,456,6.12,767.9,0.09,211.63,31,0.97
affirmative,11,6289,8.75,769.69,-0.15,195.03,32,0.97
affirmatively,13,120,4.79,897.72,0.52,327.2,32,0.97
affirmed,8,880,6.78,759.13,-0.18,358.43,31,0.91
affirming,9,339,5.83,743.52,-0.13,221.58,31,0.94
affirms,7,338,5.82,773.73,-0.02,312.62,33,1
affix,5,179,5.19,781.1,-0.02,325.31,29,0.83
affixed,7,281,5.64,687.34,-0.26,167.67,32,0.97
afflict,7,120,4.79,693.55,-0.11,201.55,33,0.97
afflicted,9,731,6.59,781.24,0.02,248.75,29,0.91
affliction,10,392,5.97,731.63,-0.2,211.25,32,1
afflictions,11,151,5.02,817.97,0.13,280.39,29,0.94
affluence,9,188,5.24,747.65,-0.16,216.02,26,0.79
affluent,8,648,6.47,747.94,-0.1,301.62,31,0.94
afford,6,18642,9.83,694.58,-0.24,221.15,33,1
afforded,8,840,6.73,797.86,0.08,303.22,28,0.85
affording,9,141,4.95,781.45,0,288.11,33,1
affords,7,395,5.98,704.64,-0.12,172.81,28,0.85
affricate,9,5,1.61,815.67,0.12,324.24,12,0.36
affront,7,340,5.83,756.44,0.18,247.57,18,0.55
affronted,9,37,3.61,853.35,0.12,232.25,17,0.53
affronting,10,4,1.39,890.68,0.32,397.19,19,0.56
Afghan,6,1397,7.24,813.19,0.09,306.98,27,0.77
Afghanistan,11,1771,7.48,967.89,0.54,382.62,28,0.85
Afghans,7,274,5.61,1036.3,0.58,354.15,23,0.72
aficionado,10,153,5.03,776.17,0.21,339.98,12,0.35
afield,6,296,5.69,1011.23,0.67,391.51,13,0.41
afire,5,163,5.09,819.33,0.29,162.06,18,0.55
aflame,6,81,4.39,923.22,0.5,256.32,23,0.7
afloat,6,415,6.03,883.92,0.18,506.12,25,0.78
afoot,5,435,6.08,786.3,0.16,165.07,23,0.68
aforementioned,14,2971,8,1128.69,1.04,674.29,16,0.55
aforesaid,9,181,5.2,964.38,0.78,338.28,8,0.27
aforethought,12,62,4.13,1106.19,1.3,433.68,16,0.53
afoul,5,208,5.34,863.33,-0.09,475.8,6,0.19
afraid,6,23303,10.06,599.59,-0.59,197.28,32,1
Africa,6,17142,9.75,683.91,-0.31,309.46,33,0.97
African,7,11473,9.35,635.16,-0.43,155.05,32,0.97
Africans,8,1565,7.36,715.64,-0.27,238.77,33,0.97
afro,4,293,5.68,825.79,0.16,248.17,28,0.88
aft,3,934,6.84,717.1,-0.1,158.06,10,0.31
after,5,414103,12.93,658.06,-0.58,297.1,35,1
afterbirth,10,57,4.04,806.39,0.12,288.91,33,0.97
aftercare,9,111,4.71,1027.48,0.64,450.85,31,0.94
aftereffect,11,36,3.58,1446.6,1.57,579.64,15,0.58
afterglow,9,180,5.19,774.13,0.02,232.58,30,0.88
afterlife,9,729,6.59,784.91,0.01,280.74,33,0.97
aftermath,9,1044,6.95,664.67,-0.33,213.61,33,0.97
afternoon,9,10525,9.26,658.03,-0.42,235.72,29,0.94
afternoons,10,820,6.71,742.85,-0.25,347.14,34,1
afternoon's,11,85,4.44,762.73,-0.22,251.85,33,0.97
aftershave,10,47,3.85,766.38,0.09,195.55,32,0.97
aftertaste,10,144,4.97,921.66,0.5,304.1,29,0.85
afterthought,12,413,6.02,716.53,-0.13,162.76,32,0.91
afterward,9,1813,7.5,755.65,-0.02,289.22,34,1
afterwards,10,7471,8.92,699.97,-0.22,257.65,31,0.97
again,5,249680,12.43,577.24,-0.75,178.66,34,1
against,7,172615,12.06,634.15,-0.58,281.73,33,0.97
Agamemnon,9,170,5.14,1044.94,0.93,374.06,18,0.56
Agamemnon's,11,16,2.77,1079.79,0.82,507.41,14,0.48
agape,5,244,5.5,861.29,0.36,410.63,17,0.53
agar,4,804,6.69,820.33,0.42,140.39,6,0.19
Agatha,6,230,5.44,908.11,0.35,294.01,19,0.59
age,3,66835,11.11,530.91,-0.9,131.16,34,1
aged,4,3437,8.14,644.45,-0.49,252.97,33,0.97
ageless,7,177,5.18,688.06,-0.23,231.08,32,0.94
agencies,8,13501,9.51,659.59,-0.37,197.86,32,0.94
agency,6,22870,10.04,641.97,-0.58,264.81,31,0.94
agenda,6,9832,9.19,739.03,-0.25,313.02,33,0.97
agent,5,22078,10,626.67,-0.6,195.82,33,0.97
agents,6,14778,9.6,631.71,-0.48,209.38,34,1
agent's,7,890,6.79,646.1,-0.45,211.46,31,0.94
ages,4,17369,9.76,679.6,-0.54,336.86,35,1
Aggie,5,520,6.25,801.75,0.13,318.71,20,0.59
Aggies,6,302,5.71,819.25,0.69,220.42,8,0.25
agglomerate,11,12,2.48,1076.67,0.58,528.34,6,0.2
agglomeration,13,62,4.13,891.22,0.68,331.4,9,0.39
agglutinating,13,25,3.22,1207,1.32,418.78,4,0.13
agglutination,13,5,1.61,1273,1.14,362.29,9,0.29
aggrandize,10,27,3.3,1023.43,0.39,629.55,7,0.21
aggravate,9,321,5.77,821.08,0,284.35,25,0.86
aggravated,10,793,6.68,751.6,-0.1,265.3,30,0.94
aggravates,10,52,3.95,925.88,0.53,335.72,24,0.77
aggravation,11,353,5.87,839.9,0.13,346.44,29,0.91
aggregate,9,1265,7.14,790.19,-0.08,252.61,27,0.84
aggregation,11,316,5.76,851.8,0.13,350.08,25,0.86
aggregations,12,77,4.34,915.5,0.67,360.09,28,0.97
aggression,10,3010,8.01,711,-0.28,226.28,34,1
aggressions,11,92,4.52,821.91,0.05,380.66,33,0.97
aggressive,10,6889,8.84,675.21,-0.37,255.74,34,1
aggressively,12,1289,7.16,674.59,-0.3,165.27,32,0.97
aggressiveness,14,371,5.92,812.75,0.03,302.84,32,1
aggressor,9,634,6.45,732.84,-0.14,196.93,31,0.94
aggrieve,8,0,0,837.45,0.17,302.05,22,0.69
aggrieved,9,158,5.06,926.65,0.3,418.2,20,0.71
aghast,6,216,5.38,693.59,-0.05,169.64,27,0.77
agile,5,631,6.45,661.97,-0.24,190.75,30,0.88
agilely,7,5,1.61,1091.71,0.91,347.14,7,0.23
agility,7,1228,7.11,765.04,0.04,274.31,26,0.79
aging,5,2956,7.99,668.12,-0.46,301.75,33,0.97
agitate,7,181,5.2,746.07,-0.12,224.49,30,0.91
agitated,8,523,6.26,852.48,0.1,398.41,31,0.91
agitating,9,122,4.8,809.63,0.23,291.05,27,0.87
agitation,9,806,6.69,934.5,0.42,460.92,30,0.88
agitator,8,214,5.37,838.96,0.34,231.77,24,0.75
agitators,9,78,4.36,988.05,0.75,437.47,21,0.7
agleam,6,0,0,1375,0.67,685.89,2,0.06
aglow,5,54,3.99,709,-0.04,233.95,15,0.48
Agnes,5,629,6.44,827.7,0.13,252.03,27,0.82
agnostic,8,1021,6.93,800.79,0.11,313.59,28,0.85
agnostics,9,257,5.55,970.25,0.4,406.3,28,0.88
ago,3,116095,11.66,697.8,-0.34,301.05,30,0.91
agonies,7,113,4.73,824.1,-0.04,284.09,29,0.83
agonize,7,78,4.36,756.9,-0.19,357.88,31,0.91
agonized,8,144,4.97,792.57,0.05,200.04,28,0.85
agonizes,8,26,3.26,857.67,0.3,396.63,30,0.94
agonizing,9,463,6.14,720.78,-0.1,180.19,32,0.94
agony,5,2245,7.72,657.88,-0.41,176.27,33,0.97
agoraphobia,11,29,3.37,1114.48,0.99,455.59,21,0.7
agrarian,8,397,5.98,1054.79,0.77,433.79,14,0.42
agree,5,103383,11.55,589.84,-0.71,206.59,32,0.94
agreeable,9,656,6.49,767.12,-0.2,363.14,34,1
agreeableness,13,4,1.39,989.04,0.77,371.75,25,0.89
agreeably,9,52,3.95,819.31,0,404.19,35,1
agreed,6,21890,9.99,664.03,-0.58,308.85,33,0.97
agreeing,8,2270,7.73,665.25,-0.43,216.93,32,0.97
agreement,9,23528,10.07,668.3,-0.43,319.37,30,0.91
agreements,10,4919,8.5,773.12,-0.03,349.66,33,1
agrees,6,5544,8.62,686.5,-0.41,284.63,30,0.91
agricultural,12,5049,8.53,970.21,0.52,384.82,29,0.91
agriculturalist,15,9,2.2,995.52,0.87,361.32,29,0.88
agriculturally,14,39,3.66,1103.17,1.05,424.33,29,0.94
agriculture,11,5462,8.61,784.26,0.04,269.12,34,1
agriculture's,13,26,3.26,873.3,0.49,325.07,30,0.94
agriculturist,13,1,0,1085.77,0.71,446.79,26,0.93
Agrippa,7,95,4.55,916.3,0.12,293.74,10,0.3
agronomy,8,178,5.18,1144.4,0.96,368.52,10,0.32
aground,7,152,5.02,915.53,0.83,276.29,15,0.47
ah,2,22390,10.02,829.48,0.07,397.16,27,0.79
ahead,5,25862,10.16,722.97,-0.44,380.18,35,1
ahem,4,1977,7.59,792.63,0.21,213.99,16,0.5
ahoy,4,192,5.26,931.5,0.35,410.71,22,0.63
aid,3,18556,9.83,580.12,-0.72,153.98,33,0.97
aide,4,1575,7.36,707.21,-0.19,201.52,29,0.85
aided,5,1647,7.41,671.71,-0.39,168.84,34,1
aides,5,671,6.51,815,-0.13,453.9,29,0.85
aiding,6,761,6.63,796.32,-0.03,250.92,28,0.85
aids,4,22058,10,616.91,-0.67,224.39,33,0.97
ail,3,233,5.45,711.85,-0.23,246.82,20,0.65
ailerons,8,156,5.05,NULL,NULL,NULL,NULL,0
ailing,6,286,5.66,725.8,-0.14,291.74,25,0.76
ailment,7,287,5.66,841.62,0.07,364.11,29,0.94
ailments,8,575,6.35,720,-0.07,164.91,32,0.94
aim,3,7900,8.97,646.22,-0.56,265.08,32,0.94
aimed,5,7151,8.88,669.66,-0.44,214.85,29,0.94
aiming,6,1938,7.57,678,-0.38,187.55,33,1
aimless,7,148,5,616.91,-0.56,124.21,33,0.97
aimlessly,9,249,5.52,858.33,0.06,425.59,30,0.94
aims,4,2831,7.95,635.23,-0.54,211.37,31,0.97
ain't,5,20992,9.95,673.28,-0.31,195.52,29,0.85
air,3,81115,11.3,589.8,-0.71,195.44,35,1
airbase,7,130,4.87,766.82,-0.25,324.18,33,0.97
airbed,6,0,0,717.63,-0.21,217.59,30,0.91
airbladder,10,0,0,947.43,0.58,335.32,23,0.7
airborne,8,2129,7.66,716.72,-0.23,189.29,32,0.94
airbrake,8,22,3.09,777.84,0.12,255.73,32,0.94
airbus,6,575,6.35,778.37,0.03,277.8,30,0.91
aircraft,8,17225,9.75,647.3,-0.41,131.18,33,1
aircraft's,10,140,4.94,798.55,-0.04,285.13,33,0.97
aircrew,7,126,4.84,833.25,0.18,256.46,28,0.9
aircushion,10,0,0,1006.67,0.79,378.77,24,0.73
airdrop,7,25,3.22,832.61,0.1,320.97,33,0.94
airdrops,8,28,3.33,888.41,0.14,436.16,29,0.83
aired,5,3088,8.04,781.78,-0.15,325.95,32,0.91
airfield,8,498,6.21,842.7,0.08,330.12,30,0.88
airfields,9,201,5.3,781,-0.1,219.05,32,0.94
airflow,7,417,6.03,827.16,-0.02,341.18,31,0.97
airforce,8,376,5.93,701.19,-0.32,201.25,32,0.94
airframe,8,440,6.09,868.43,0.17,325.89,30,0.91
airily,6,16,2.77,877.58,0.3,239.09,19,0.59
airless,7,420,6.04,651.84,-0.31,208.54,32,0.97
airlift,7,196,5.28,767.16,-0.19,324.28,32,0.97
airline,7,5136,8.54,698,-0.34,263.14,32,0.97
airliner,8,341,5.83,686.35,-0.25,241.23,31,0.94
airlines,8,6265,8.74,611.73,-0.53,147.46,33,1
airlock,7,560,6.33,686.52,-0.24,214.09,33,0.97
airmail,7,748,6.62,672.29,-0.18,192.46,31,0.94
airman's,8,30,3.4,939,0.29,431.49,26,0.81
airmen,6,207,5.33,702.62,-0.21,242.55,29,0.88
airpark,7,82,4.41,886.37,0.44,294,19,0.63
airplane,8,4709,8.46,673.77,-0.39,274.86,31,0.97
airplanes,9,1699,7.44,675.82,-0.48,225.43,33,0.97
airport,7,11859,9.38,619.84,-0.59,149.65,32,1
airports,8,1688,7.43,700.7,-0.38,393.73,33,1
airs,4,1597,7.38,734.61,-0.19,445.71,31,0.97
airshaft,8,3,1.1,818.65,0.08,260.61,31,0.94
airship,7,448,6.1,663.52,-0.21,255.84,31,0.91
airsick,7,18,2.89,780.55,-0.09,225.2,29,0.85
airspace,8,744,6.61,684.36,-0.32,249.29,33,0.97
airspeed,8,601,6.4,810,0.12,291.59,30,0.91
airstrip,8,173,5.15,954.07,0.43,482.07,29,0.85
airstrips,9,47,3.85,900.97,0.45,280.05,31,0.91
airtight,8,366,5.9,834.33,0.07,343.4,30,0.91
airway,6,256,5.55,640.83,-0.48,185.53,35,1
airways,7,913,6.82,731.38,-0.25,325.69,32,0.97
airy,4,362,5.89,727.79,-0.19,176.75,24,0.75
aisle,5,1388,7.24,709.62,-0.23,177.1,34,0.97
ajar,4,149,5,720.1,-0.19,245.29,29,0.88
akin,4,2436,7.8,853.47,0.34,233.57,19,0.58
Akron,5,3129,8.05,767.25,-0.06,183.84,20,0.63
Al,2,70783,11.17,686.26,-0.49,343.16,31,0.94
Alabama,7,5243,8.56,696.35,-0.4,319.24,31,1
Alabamans,9,6,1.79,904.44,0.52,416.02,16,0.62
alabaster,9,1704,7.44,805.95,0.34,195.83,21,0.62
Alamo,5,1525,7.33,750.72,-0.2,186.41,32,0.97
Alamogordo,10,86,4.45,671.25,0.14,432.97,4,0.13
Alan,4,33178,10.41,673.65,-0.34,257.38,31,0.91
alarm,5,5599,8.63,612.18,-0.55,268.19,34,1
alarmed,7,945,6.85,573.38,-0.72,143.24,32,0.94
alarming,8,1058,6.96,724.58,-0.36,251.31,33,1
alarmingly,10,126,4.84,893.77,0.31,341.21,30,0.91
alarmist,8,169,5.13,794.93,-0.06,296.2,28,0.85
alarms,6,1466,7.29,572.66,-0.65,154.81,32,0.97
alas,4,4353,8.38,733,-0.08,272.28,29,0.85
Alaska,6,6248,8.74,537.3,-0.79,126.27,33,0.97
albacore,8,54,3.99,894.36,0.53,237.13,14,0.4
Albania,7,1749,7.47,763,0.01,277.43,31,0.94
Albanian,8,2802,7.94,811.32,-0.02,342.4,31,0.94
Albanians,9,1808,7.5,938.52,0.41,226.57,33,0.97
Albany,6,3284,8.1,742.41,-0.25,304.65,32,0.97
albatross,9,535,6.28,818.15,0.29,194.81,20,0.59
albeit,6,3958,8.28,782,0.11,264.23,19,0.58
Albert,6,10552,9.26,620.59,-0.51,122.34,32,0.91
albino,6,860,6.76,818.79,0.2,256.53,24,0.8
album,5,39796,10.59,580.5,-0.67,123.79,32,0.94
albumin,7,1082,6.99,708,-0.36,169.86,6,0.18
albums,6,11973,9.39,705,-0.37,281.39,34,1
alchemist,9,525,6.26,862.67,0.44,276.6,24,0.73
alchemy,7,1069,6.97,851.3,0.36,456.96,20,0.63
alcohol,7,14209,9.56,668.84,-0.47,258.2,32,0.97
alcoholic,9,1824,7.51,670.12,-0.32,219.35,33,1
alcoholics,10,993,6.9,867.76,0.24,396.14,33,1
alcoholism,10,1023,6.93,759.12,-0.08,266.66,34,0.97
alcohols,8,139,4.93,766.9,-0.08,389.43,31,0.91
alcove,6,264,5.58,807.95,0.12,248.9,19,0.56
alcoves,7,58,4.06,817.35,0.26,247.07,17,0.5
alderman,8,176,5.17,939.47,0.53,530.95,19,0.58
aldermen,8,11,2.4,892.15,0.61,198.17,20,0.67
ale,3,4919,8.5,698.6,-0.34,419.56,30,0.88
alehouse,8,9,2.2,1136.62,1,394.2,13,0.38
alert,5,8982,9.1,582.75,-0.7,167.01,32,0.97
alerted,7,637,6.46,724.84,-0.3,335.57,32,0.97
alerting,8,332,5.81,685.38,-0.35,258.5,32,0.94
alertly,7,13,2.56,773.29,0.08,240.43,24,0.73
